60,Finishing Trims I/H,by Merchant,Merchandising,,O,,3,3,3,3,3,3,2,1,0,0,0,1,1,1
61,Finishing Trims I/H,by Merchant,,Garmenting Vendor,O,,3,3,3,3,3,3,2,1,0,0,0,1,1,1
62,Packing Trims I/H,by Merchant,Merchandising,,O,,2,2,2,2,2,2,1,1,0,0,0,1,1,1
63,Packing Trims I/H,by Merchant,,Garmenting Vendor,O,,2,2,2,2,2,2,1,1,0,0,0,1,1,1
64,Packaging Trims I/H,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
65,Packaging Trims I/H,by Merchant,,Garmenting Vendor,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
66,Trim Card Approval,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,0,1,1,0,1,1,1
67,Trim Card Approval,by Merchant,,Garmenting Vendor,O,,1,1,1,1,1,1,1,0,1,1,0,1,1,1
68,Proto Approvals (Substitute),by Merchant/Quality,Merchandising,,O,55,5,5,5,5,4,3,2,0,0,0,0,2,2,2
69,Proto Approvals (Substitute),by Merchant/Quality,Quality,,O,55,5,5,5,5,4,3,2,0,0,0,0,2,2,2
70,FIT Approvals (Substitute),by Merchant/Quality,Merchandising,,O,,3,3,3,3,3,2,1,0,0,0,0,2,2,2
71,FIT Approvals (Substitute),by Merchant/Quality,Quality,,O,,3,3,3,3,3,2,1,0,0,0,0,2,2,2
72,Wash Approvals (Actual),by Merchant/Quality,Merchandising,,O,,1,1,1,1,1,1,1,0,0,0,0,2,2,2
73,Wash Approvals (Actual),by Merchant/Quality,Quality,,O,,1,1,1,1,1,1,1,0,0,0,0,2,2,2
74,PP Approval,by Merchant/Quality,Merchandising,,,,6,6,6,6,6,5,4,2,1,0,0,3,3,3
75,PP Approval,by Merchant/Quality,Quality,,,,6,6,6,6,6,5,4,2,1,0,0,3,3,3
76,Size-set Approvals,by Merchant/Quality,Merchandising,,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
77,Size-set Approvals,by Merchant/Quality,Quality,,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
78,GPT Approvals,by Merchant/Quality,Merchandising,,O,,1,1,1,1,1,0,0,0,0,0,0,1,1,1
79,GPT Approvals,by Merchant/Quality,Quality,,O,,1,1,1,1,1,0,0,0,0,0,0,1,1,1
80,PPM & Production file,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,0,0,0,0,2,2,2
81,PCD,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,0,1,1,1,2,2,2
82,DPR,by Merchant,Merchandising,,O,,1,1,1,1,1,0,0,0,0,0,0,1,1,1
83,Loading-Parts,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
84,Loading-Parts,by Merchant,,Garmenting Vendor,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
85,Loading-Assembly,by Merchant,Merchandising,,O,,3,3,3,3,3,3,3,3,3,2,1,1,1,1
86,Loading-Assembly,by Merchant,,Garmenting Vendor,O,,3,3,3,3,3,3,3,3,3,2,1,1,1,1
87,TOP/GPT Approvals,by Merchant,Merchandising,,O,,2,2,2,2,2,2,1,1,0,0,0,1,1,1
88,TOP/GPT Approvals,by Merchant,Quality,,O,,2,2,2,2,2,2,1,1,0,0,0,1,1,1
89,Garment Inline Inspection,by Quality,Quality,,O,75,1,1,1,1,1,1,1,0,0,0,0,1,1,1
90,Garment Midline Inspection,by Quality,Quality,,O,,2,2,2,2,2,0,0,0,0,0,0,1,1,1
91,Garment Endline Inspection,by Quality,Quality,,O,,2,2,2,2,2,2,1,0,0,0,0,1,1,1
92,Carton Sticker Approval,by Merchant,Merchandising,,O,,1,1,1,1,1,1,0,0,0,0,0,1,1,1
93,Garment Packing List,by Merchant,Merchandising,,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
94,Garment Final Inspection,By Quality,Quality,,O,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,Garment Factory Invoice,by Merchant,,Garmenting Vendor,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
96,Garment Ex-Factory/Dispatch/Logitic Allocation,by Merchant,Merchandising,,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
97,Garment Ex-Factory/Dispatch/Logitic Allocation,by Merchant,,Garmenting Vendor,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
98,Garment Ex-Factory/Dispatch/Logitic Allocation,by Merchant,,Logistic Vendor,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
99,Garment at Warehouse,by Merchant,,Logistic Vendor,O,,2,2,5,3,2,2,1,1,0,0,0,1,1,1
100,Garment Dispatch to Customer,by Merchant/Logistic,Merchandising,,O,,1,1,6,4,1,1,1,1,1,0,0,1,1,1
101,Garment Customer Receipt,by Merchant,Sales,,O,,3,3,8,5,3,2,1,1,0,0,0,2,2,2
102,Customer Payment,by Sales,Sales,,O,,45,45,45,45,45,45,45,45,45,45,45,10,10,10
103,Vendor Payment,by Merchant,Sales,,O,102,45,45,45,45,45,45,45,45,45,45,45,10,10,10
